index,PDE_100,Act_100,PDE_100_D,PDE_delta_100,PDE_120,Act_120,PDE_120_D,PDE_delta_120
59,7.961858979,7.965567455,8.529981115,0.568122136,2.152082096,2.147298811,2.355621629,0.203539533
60,7.961919661,7.965567455,8.529806968,0.567887307,2.152730298,2.147298811,2.358473327,0.205743029
61,7.961978391,7.965567455,8.529636621,0.56765823,2.153031914,2.147298811,2.360937525,0.207905611
62,7.962035259,7.965567455,8.529469935,0.567434675,2.153007204,2.147298811,2.363035673,0.210028469
63,7.962090355,7.965567455,8.529306778,0.567216424,2.152675177,2.147298811,2.364787928,0.212112751
64,7.962143758,7.965567455,8.529147027,0.567003269,2.152053683,2.147298811,2.366213241,0.214159558
65,7.962195547,7.965567455,8.528990562,0.566795015,2.151159487,2.147298811,2.367329441,0.216169953
66,7.962245792,7.965567455,8.528837271,0.566591478,2.15000835,2.147298811,2.368153309,0.218144959
67,7.962294563,7.965567455,8.528687045,0.566392483,2.148615089,2.147298811,2.368700651,0.220085562
68,7.962341922,7.965567455,8.528539784,0.566197862,2.146993647,2.147298811,2.368986356,0.22199271
69,7.962387931,7.965567455,8.528395388,0.566007457,2.145157145,2.147298811,2.369024463,0.223867318
70,7.962432646,7.965567455,8.528253765,0.565821119,2.143117944,2.147298811,2.368828213,0.225710269
71,7.962476121,7.965567455,8.528114826,0.565638705,2.140887684,2.147298811,2.368410098,0.227522413
72,7.962518407,7.965567455,8.527978487,0.565460079,2.14158408,2.147298811,2.367781914,0.226197834
73,7.962559552,7.965567455,8.527844665,0.565285112,2.143658127,2.147298811,2.366954801,0.223296674
74,7.962599602,7.965567455,8.527713283,0.56511368,2.145464578,2.147298811,2.365939285,0.220474707
75,7.9626386,7.965567455,8.527584266,0.564945667,2.147015525,2.147298811,2.364745318,0.217729792
76,7.962676586,7.965567455,8.527457545,0.564780959,2.14832247,2.147298811,2.36338231,0.21505984
77,7.9627136,7.965567455,8.52733305,0.56461945,2.149396357,2.147298811,2.361859166,0.212462809
78,7.962749678,7.965567455,8.527210715,0.564461038,2.150247604,2.147298811,2.360184315,0.20993671
79,7.962784855,7.965567455,8.527090479,0.564305624,2.150886132,2.147298811,2.358365735,0.207479603
80,7.962819165,7.965567455,8.526972282,0.564153117,2.151321388,2.147298811,2.357131336,0.205809949
81,7.96285264,7.965567455,8.526856064,0.564003425,2.151562375,2.147298811,2.358998545,0.207436171
82,7.962885309,7.965567455,8.526741772,0.563856463,2.151617674,2.147298811,2.360657559,0.209039885
83,7.962917201,7.965567455,8.526629352,0.563712151,2.151495464,2.147298811,2.362117047,0.210621583
84,7.962948344,7.965567455,8.526518751,0.563570408,2.151203549,2.147298811,2.363385287,0.212181738
85,7.962978764,7.965567455,8.526409922,0.563431159,2.15074937,2.147298811,2.364470184,0.213720815
86,7.963008485,7.965567455,8.526302817,0.563294332,2.150140028,2.147298811,2.36537929,0.215239262
87,7.963037531,7.965567455,8.52619739,0.563159859,2.149382303,2.147298811,2.366119819,0.216737515
88,7.963065926,7.965567455,8.526093597,0.563027671,2.148482668,2.147298811,2.366698669,0.218216001
89,7.963093691,7.965567455,8.525991396,0.562897705,2.147447304,2.147298811,2.367122436,0.219675133
90,7.963120846,7.965567455,8.525890746,0.5627699,2.146282116,2.147298811,2.367397427,0.221115311
91,7.963147411,7.965567455,8.525791607,0.562644196,2.144992747,2.147298811,2.367529676,0.222536929
92,7.963173406,7.965567455,8.525693942,0.562520536,2.143584592,2.147298811,2.367524956,0.223940364
93,7.963198849,7.965567455,8.525597714,0.562398866,2.142062808,2.147298811,2.367388797,0.225325989
94,7.963223756,7.965567455,8.525502888,0.562279132,2.143021141,2.147298811,2.367126488,0.224105347
95,7.963248145,7.965567455,8.525409429,0.562161284,2.144414548,2.147298811,2.366743099,0.222328551
96,7.963272032,7.965567455,8.525317305,0.562045273,2.145652979,2.147298811,2.366243485,0.220590506
97,7.963295432,7.965567455,8.525226484,0.561931052,2.146741887,2.147298811,2.365632297,0.21889041
98,7.96331836,7.965567455,8.525136934,0.561818574,2.147686523,2.147298811,2.364913996,0.217227473
99,7.963340829,7.965567455,8.525048626,0.561707797,2.148491936,2.147298811,2.364092854,0.215600917
100,7.963362854,7.965567455,8.524961532,0.561598677,2.149162988,2.147298811,2.363172971,0.214009983
